id,file,percent,hp,time captured,time parsed,manual
sabnock,Screenshot (148).png,99.99,279.0,1545380255,1545388743.0,
flauros,Screenshot (149).png,99.97,614.0,1545380258,1545388746.0,
forneus,Screenshot (150).png,99.98,414.0,1545380262,1545388747.0,
flauros,Screenshot (151).png,99.96,701.0,1545380371,1545388752.0,
forneus,Screenshot (152).png,99.98,462.0,1545380374,1545388757.0,
barbatos,Screenshot (153).png,99.19,16132.0,1545380377,1545388763.0,
halphas,Screenshot (154).png,99.99,256.0,1545380381,1545388769.0,
amon_ra,Screenshot (155).png,99.99,203.0,1545380384,1545388775.0,
sabnock,Screenshot (156).png,99.98,326.0,1545380387,1545388777.0,
flauros,Screenshot (157).png,99.96,701.0,1545380391,1545388778.0,
forneus,Screenshot (158).png,99.98,462.0,1545380395,1545388779.0,
flauros,Screenshot (159).png,99.96,762.0,1545380504,1545388780.0,
forneus,Screenshot (160).png,99.97,526.0,1545380506,1545388781.0,
barbatos,Screenshot (161).png,99.09,18130.0,1545380510,1545388783.0,
halphas,Screenshot (162).png,99.99,296.0,1545380513,1545388784.0,
amon_ra,Screenshot (163).png,99.99,248.0,1545380517,1545388785.0,248
sabnock,Screenshot (164).png,99.98,359.0,1545380520,1545388786.0,
flauros,Screenshot (165).png,99.96,762.0,1545380524,1545388788.0,
forneus,Screenshot (166).png,99.97,526.0,1545380527,1545388789.0,
flauros,Screenshot (167).png,99.96,833.0,1545380636,1545388790.0,
forneus,Screenshot (168).png,99.97,584.0,1545380639,1545388796.0,
halphas,Screenshot (170).png,99.98,327.0,1545380646,1545388808.0,
amon_ra,Screenshot (171).png,99.99,286.0,1545380649,1545388812.0,
sabnock,Screenshot (172).png,99.98,398.0,1545380653,1545388813.0,
flauros,Screenshot (173).png,99.96,833.0,1545380656,1545388814.0,
forneus,Screenshot (174).png,99.97,584.0,1545380660,1545388815.0,
flauros,Screenshot (175).png,99.95,933.0,1545380769,1545388817.0,
forneus,Screenshot (176).png,99.97,652.0,1545380772,1545388818.0,
barbatos,Screenshot (177).png,98.89,22279.0,1545380775,1545388819.0,
halphas,Screenshot (178).png,99.98,368.0,1545380779,1545388820.0,
amon_ra,Screenshot (179).png,99.98,330.0,1545380782,1545388821.0,
sabnock,Screenshot (180).png,99.98,435.0,1545380786,1545388822.0,
flauros,Screenshot (181).png,99.95,933.0,1545380789,1545388824.0,
forneus,Screenshot (182).png,99.97,652.0,1545380793,1545388825.0,
flauros,Screenshot (183).png,99.95,1020.0,1545380902,1545388826.0,
forneus,Screenshot (184).png,99.96,717.0,1545380905,1545388827.0,
barbatos,Screenshot (185).png,98.77,24663.0,1545380908,1545388829.0,
halphas,Screenshot (186).png,99.98,408.0,1545380912,1545388830.0,
amon_ra,Screenshot (187).png,99.98,375.0,1545380915,1545388831.0,
sabnock,Screenshot (188).png,99.98,485.0,1545380919,1545388832.0,
flauros,Screenshot (189).png,99.95,1020.0,1545380922,1545388839.0,
forneus,Screenshot (190).png,99.96,717.0,1545380926,1545388847.0,
flauros,Screenshot (191).png,99.94,1125.0,1545381036,1545388856.0,
forneus,Screenshot (192).png,99.96,793.0,1545381038,1545388860.0,
barbatos,Screenshot (193).png,98.64,27205.0,1545381042,1545388862.0,
halphas,Screenshot (194).png,99.98,448.0,1545381045,1545388865.0,
amon_ra,Screenshot (195).png,99.98,410.0,1545381048,1545388867.0,
sabnock,Screenshot (196).png,99.97,543.0,1545381052,1545388868.0,
flauros,Screenshot (197).png,99.94,1125.0,1545381055,1545388869.0,
forneus,Screenshot (198).png,99.96,793.0,1545381059,1545388870.0,
flauros,Screenshot (199).png,99.94,1208.0,1545381168,1545388871.0,
forneus,Screenshot (200).png,99.96,870.0,1545381171,1545388873.0,
barbatos,Screenshot (201).png,98.51,29792.0,1545381174,1545388874.0,
halphas,Screenshot (202).png,99.97,515.0,1545381178,1545388875.0,515
amon_ra,Screenshot (203).png,99.98,456.0,1545381182,1545388876.0,
sabnock,Screenshot (204).png,99.97,602.0,1545381186,1545388878.0,
flauros,Screenshot (205).png,99.94,1208.0,1545381188,1545388879.0,
forneus,Screenshot (206).png,99.96,870.0,1545381193,1545388880.0,
flauros,Screenshot (207).png,99.93,1320.0,1545381302,1545388881.0,
forneus,Screenshot (208).png,99.95,945.0,1545381304,1545388882.0,
barbatos,Screenshot (209).png,98.38,32492.0,1545381307,1545388884.0,
halphas,Screenshot (210).png,99.97,560.0,1545381312,1545388885.0,
amon_ra,Screenshot (211).png,99.98,499.0,1545381314,1545388886.0,
sabnock,Screenshot (212).png,99.97,656.0,1545381318,1545388887.0,
flauros,Screenshot (213).png,99.93,1320.0,1545381321,1545388888.0,
forneus,Screenshot (214).png,99.95,945.0,1545381325,1545388889.0,
flauros,Screenshot (215).png,99.93,1448.0,1545381435,1545388891.0,
forneus,Screenshot (216).png,99.95,1026.0,1545381438,1545388892.0,
barbatos,Screenshot (217).png,98.23,35414.0,1545381441,1545388893.0,
halphas,Screenshot (218).png,99.97,627.0,1545381444,1545388894.0,
amon_ra,Screenshot (219).png,99.97,548.0,1545381448,1545388896.0,
sabnock,Screenshot (220).png,99.96,720.0,1545381451,1545388897.0,
flauros,Screenshot (221).png,99.93,1448.0,1545381455,1545388898.0,
forneus,Screenshot (222).png,99.95,1026.0,1545381458,1545388899.0,
flauros,Screenshot (223).png,99.92,1550.0,1545381567,1545388900.0,
forneus,Screenshot (224).png,99.95,1100.0,1545381569,1545388902.0,
barbatos,Screenshot (225).png,98.1,37991.0,1545381573,1545388903.0,
halphas,Screenshot (226).png,99.97,679.0,1545381576,1545388904.0,
amon_ra,Screenshot (227).png,99.97,595.0,1545381580,1545388905.0,
sabnock,Screenshot (228).png,99.96,786.0,1545381583,1545388907.0,
flauros,Screenshot (229).png,99.92,1550.0,1545381587,1545388908.0,
forneus,Screenshot (230).png,99.95,1100.0,1545381590,1545388909.0,
flauros,Screenshot (231).png,99.92,1685.0,1545381699,1545388910.0,
forneus,Screenshot (232).png,99.94,1186.0,1545381702,1545388912.0,
barbatos,Screenshot (233).png,97.95,41087.0,1545381705,1545388913.0,
halphas,Screenshot (234).png,99.96,746.0,1545381708,1545388914.0,
amon_ra,Screenshot (235).png,99.97,652.0,1545381712,1545388917.0,
sabnock,Screenshot (236).png,99.96,843.0,1545381715,1545388922.0,
flauros,Screenshot (237).png,99.92,1685.0,1545381719,1545388927.0,
forneus,Screenshot (238).png,99.94,1186.0,1545381723,1545388932.0,
flauros,Screenshot (239).png,99.91,1823.0,1545381832,1545388940.0,
forneus,Screenshot (240).png,99.94,1289.0,1545381835,1545388949.0,
barbatos,Screenshot (241).png,97.79,44300.0,1545381838,1545388950.0,
halphas,Screenshot (242).png,99.96,813.0,1545381842,1545388952.0,
amon_ra,Screenshot (243).png,99.96,714.0,1545381845,1545388953.0,
sabnock,Screenshot (244).png,99.95,910.0,1545381849,1545388954.0,
flauros,Screenshot (245).png,99.91,1823.0,1545381852,1545388955.0,
forneus,Screenshot (246).png,99.94,1289.0,1545381858,1545388956.0,
flauros,Screenshot (247).png,99.9,1946.0,1545381965,1545388958.0,
forneus,Screenshot (248).png,99.93,1377.0,1545381968,1545388959.0,
barbatos,Screenshot (249).png,97.61,47760.0,1545381971,1545388960.0,
halphas,Screenshot (250).png,99.96,873.0,1545381975,1545388961.0,
amon_ra,Screenshot (251).png,99.96,775.0,1545381979,1545388962.0,
sabnock,Screenshot (252).png,99.95,980.0,1545381981,1545388964.0,
